compound,szafa,Stack voltage,Cell current,Stack power,Air,CO2,N2,N2.1,H2,CO2.1,H2O,CH3OH
"H2, 605C",1.95,1.81,25.0,45.25,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.84,1.66,30.0,49.8,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.71,1.48,35.0,51.8,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.57,1.32,40.0,52.800000000000004,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.47,1.17,45.0,52.65,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.36,1.03,50.0,51.5,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.2,2.21,5.0,11.05,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",2.13,2.11,10.0,21.099999999999998,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",2.07,2.01,15.0,30.15,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",2,1.9,20.0,38.0,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",1.94,1.81,25.0,45.25,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",1.88,1.71,30.0,51.3,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",1.82,1.61,35.0,56.35,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",1.75,1.51,40.0,60.4,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",1.69,1.4,45.0,62.99999999999999,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",1.62,1.29,50.0,64.5,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",1.53,1.17,55.0,64.35,4.0,1.5,0.0,1.0,1.0,0.5,,
"H2, 605C",1.44,1.04,60.0,62.400000000000006,4.0,1.5,0.0,1.0,1.0,0.5,,
MeOH+H2O,2,2.05,0.0,0.0,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1900-01-01 23:16:48,2.01,2.0,4.02,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.94,1.96,4.0,7.84,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.9,1.91,6.0,11.459999999999999,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.88,1.87,8.0,14.96,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.84,1.82,10.0,18.2,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.81,1.77,12.0,21.240000000000002,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.78,1.73,14.0,24.22,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.73,1.66,16.0,26.56,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.68,1.6,18.0,28.8,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.62,1.53,20.0,30.6,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.54,1.47,22.0,32.339999999999996,4.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,1.51,1.4,24.0,33.599999999999994,4.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.98,2.03,0.0,0.0,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1900-01-01 22:33:36,1.97,3.0,5.91,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.9,1.9,6.0,11.399999999999999,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.81,1.8,9.0,16.2,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.79,1.75,12.0,21.0,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.93,1.68,15.0,25.2,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.64,1.54,18.0,27.72,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.58,1.47,21.0,30.87,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.35,1.29,24.0,30.96,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",,,27.0,0.0,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",,,30.0,0.0,6.0,1.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",,,33.0,0.0,6.0,1.5,0.0,1.0,0.0,,,11.8
MeOH+H2O,,,0.0,0.0,6.0,1.5,0.0,1.0,0.0,,,7.1
MeOH+H2O,,,3.0,0.0,6.0,1.5,0.0,1.0,0.0,,,7.1
MeOH+H2O,,,6.0,0.0,6.0,1.5,0.0,1.0,0.0,,,7.1
MeOH+H2O,,,9.0,0.0,6.0,1.5,0.0,1.0,0.0,,,7.1
MeOH+H2O,,,12.0,0.0,6.0,1.5,0.0,1.0,0.0,,,7.1
MeOH+H2O,,,15.0,0.0,6.0,1.5,0.0,1.0,0.0,,,7.1
MeOH+H2O,,,18.0,0.0,6.0,1.5,0.0,1.0,0.0,,,7.1
"MeOH+H2O, 605C ",1.99,2.06,0.0,0.0,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1900-01-01 16:33:36,1.99,3.0,5.97,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.92,1.93,6.0,11.58,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.86,1.86,9.0,16.740000000000002,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.82,1.79,12.0,21.48,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.77,1.72,15.0,25.8,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.72,1.64,18.0,29.52,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.59,1.49,21.0,31.29,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",1.62,1.3,24.0,31.200000000000003,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",,,27.0,0.0,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",,,30.0,0.0,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C ",,,33.0,0.0,6.0,2.5,0.0,1.0,0.0,,,11.8
"MeOH+H2O, 605C",2.02,2.08,0.0,0.0,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.99,2.02,3.0,6.0600000000000005,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.95,1.96,6.0,11.76,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.91,1.9,9.0,17.099999999999998,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.87,1.84,12.0,22.080000000000002,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.83,1.78,15.0,26.7,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.8,1.72,18.0,30.96,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.76,1.65,21.0,34.65,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.72,1.6,24.0,38.400000000000006,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.68,1.54,27.0,41.58,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.62,1.46,30.0,43.8,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.57,1.38,33.0,45.54,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",1.5,1.29,36.0,46.44,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",,0.9,39.0,35.1,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",,,42.0,0.0,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",,,45.0,0.0,8.0,3.0,0.0,1.0,0.0,,,17.8
"MeOH+H2O, 605C",2.03,2.1,0.0,0.0,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1900-01-02 00:14:24,2.04,3.0,6.12,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.97,1.99,6.0,11.94,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.94,1.93,9.0,17.37,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.9,1.87,12.0,22.44,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.87,1.82,15.0,27.3,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.83,1.76,18.0,31.68,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.79,1.7,21.0,35.699999999999996,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.76,1.64,24.0,39.36,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.73,1.59,27.0,42.93,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.7,1.53,30.0,45.9,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.66,1.47,33.0,48.51,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.62,1.41,36.0,50.76,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.59,1.35,39.0,52.650000000000006,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.54,1.29,42.0,54.18,8.0,3.0,0.0,1.0,1.0,,,23.7
"MeOH+H2O, 605C",1.5,1.22,45.0,54.9,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.45,1.15,48.0,55.199999999999996,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.38,1.06,51.0,54.06,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",2.03,2.1,0.0,0.0,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",2,2.05,3.0,6.1499999999999995,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.97,1.99,6.0,11.94,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.93,1.93,9.0,17.37,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.9,1.87,12.0,22.44,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.86,1.82,15.0,27.3,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.82,1.76,18.0,31.68,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.79,1.7,21.0,35.699999999999996,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.75,1.64,24.0,39.36,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.72,1.58,27.0,42.660000000000004,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.68,1.52,30.0,45.6,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.64,1.46,33.0,48.18,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.6,1.4,36.0,50.4,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.56,1.33,39.0,51.870000000000005,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.52,1.27,42.0,53.34,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.48,1.2,45.0,54.0,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.42,1.12,48.0,53.760000000000005,4.0,1.5,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 605C",1.31,1.0,51.0,51.0,4.0,1.5,0.0,1.0,0.0,,,23.7
MeOH+H2O,2.05,2.12,0.0,0.0,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,2.02,2.07,3.0,6.209999999999999,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.97,2.01,6.0,12.059999999999999,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.95,1.95,9.0,17.55,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.9,1.88,12.0,22.56,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.86,1.83,15.0,27.450000000000003,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.83,1.76,18.0,31.68,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.79,1.7,21.0,35.699999999999996,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.75,1.64,24.0,39.36,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.7,1.58,27.0,42.660000000000004,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.86,1.5,30.0,45.0,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.62,1.44,33.0,47.519999999999996,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.58,1.37,36.0,49.32000000000001,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.54,1.31,39.0,51.09,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.5,1.24,42.0,52.08,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.44,1.17,45.0,52.65,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.38,1.07,48.0,51.36,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,1.3,0.88,51.0,44.88,4.0,3.0,0.0,1.0,0.0,,,23.7
MeOH+H2O,,,54.0,0.0,4.0,3.0,0.0,0.0,0.0,,,23.7
"H2,625C",,,0.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,5.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,10.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,15.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,20.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,25.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,30.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,35.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,40.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,45.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,50.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,55.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,60.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,625C",,,61.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,,,,,,,,,,
"H2,650C",,,0.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,5.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,10.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,15.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,20.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,25.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,30.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,35.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,40.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,45.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,50.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,55.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,60.0,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"H2,650C",,,64.6,0.0,4.0,1.5,0.0,0.0,1.0,0.0,,
"MeOH+H2O, 640C",2,2.05,0.0,0.0,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.95,1.99,3.0,5.97,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.91,1.93,6.0,11.58,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.87,1.86,9.0,16.740000000000002,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.83,1.8,12.0,21.6,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.79,1.72,15.0,25.8,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.74,1.68,18.0,30.24,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.7,1.6,21.0,33.6,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.65,1.52,24.0,36.480000000000004,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.59,1.43,27.0,38.61,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.51,1.33,30.0,39.900000000000006,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.1,0.9,33.0,29.7,8.0,3.0,0.0,1.0,0.0,,,23.7
"MeOH+H2O, 640C",1.92,2.01,0.0,0.0,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.9,1.95,3.0,5.85,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.86,1.89,6.0,11.34,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.82,1.93,9.0,17.37,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.78,1.55,12.0,18.6,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.73,1.7,15.0,25.5,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.69,1.63,18.0,29.339999999999996,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.62,1.54,21.0,32.34,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.57,1.47,24.0,35.28,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.52,1.37,27.0,36.99,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.35,1.07,30.0,32.1,8.0,3.0,0.0,0.0,0.0,,,23.7
"MeOH+H2O, 640C",1.95,2.03,0.0,0.0,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.93,1.98,3.0,5.9399999999999995,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.91,1.93,6.0,11.58,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.85,1.87,9.0,16.830000000000002,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.81,1.81,12.0,21.72,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.77,1.75,15.0,26.25,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.74,1.7,18.0,30.599999999999998,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.71,1.63,21.0,34.23,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.66,1.57,24.0,37.68,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.62,1.5,27.0,40.5,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.57,1.43,30.0,42.9,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.51,1.34,33.0,44.220000000000006,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.39,1.18,36.0,42.48,10.0,3.75,0.0,0.0,0.0,,,29.625
"MeOH+H2O, 640C",1.95,2.07,0.0,0.0,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.93,2.02,3.0,6.0600000000000005,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.89,1.96,6.0,11.76,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.86,1.9,9.0,17.099999999999998,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.82,1.85,12.0,22.200000000000003,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.8,1.79,15.0,26.85,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.76,1.74,18.0,31.32,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.73,1.68,21.0,35.28,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.7,1.62,24.0,38.88,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.66,1.56,27.0,42.120000000000005,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.62,1.49,30.0,44.7,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.58,1.43,33.0,47.19,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.55,1.37,36.0,49.32000000000001,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.5,1.29,39.0,50.31,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.41,1.2,42.0,50.4,12.0,4.5,0.0,0.0,0.0,,,35.55
"MeOH+H2O, 640C",1.97,2.09,0.0,0.0,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.94,2.04,3.0,6.12,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.9,1.98,6.0,11.879999999999999,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.88,1.92,9.0,17.28,14.0,5.25,0.0,0.0,0.0,,,41.475
"MeOH+H2O, 640C",1.85,1.87,12.0,22.44,14.0,5.25,0.0,0.0,0.0,,,41.475
